"year","total","sd","upp50","lwr50","upp80","lwr80","model"
2011,12559308.3829395,205149.758942042,12705293.6095941,12451080.6981421,12865614.0102906,12373401.1618324,"Main"
2012,13266932.0601181,402724.184515897,13540076.5391873,13005329.075868,13809182.1392193,12794515.7285399,"Main"
2013,13826532.7336518,492990.217604008,14162401.6635044,13503086.9285882,14482251.848382,13235817.1702954,"Main"
2014,14298639.7466203,545154.866163518,14665228.70307,13938153.9784526,15040362.3815446,13649386.9222278,"Main"
2015,14783545.4138056,564124.058514529,15178928.5972925,14421221.4729568,15541818.8331292,14105815.5379683,"Main"
2016,15319968.6981574,565348.340245962,15700546.7153548,14954111.9380494,16069160.9753476,14633477.4860864,"Main"
2017,15475881.9372494,593638.940353786,15884665.8236916,15097564.9023503,16268772.1253084,14770996.6572978,"Main"
2018,15586143.8609976,712565.183626345,16052327.8908438,15102603.126694,16499453.5825877,14710464.9699927,"Main"
2019,15720888.7167394,888933.721241985,16306581.164251,15146049.5967769,16890518.9115617,14645185.5278899,"Main"
2011,12547512.5260434,201189.803990117,12684471.5634386,12442144.3889864,12837387.5650298,12373870.1780947,"Main low precision"
2012,13265909.342321,402143.484898177,13537387.2491067,13007214.952689,13803280.1566508,12793715.0450316,"Main low precision"
2013,13827317.2629872,489766.01389161,14177531.7309545,13495823.7181429,14494576.3907604,13222449.9148257,"Main low precision"
2014,14309350.6116935,553433.38219107,14689440.8671339,13936155.4515432,15030968.6852539,13625668.7677112,"Main low precision"
2015,14780252.6146337,570529.590496984,15173807.3993495,14386991.2479417,15536387.737311,14064620.7772173,"Main low precision"
2016,15311794.0785132,560710.350020135,15685880.0635578,14929616.5385923,16065630.5745638,14625513.0032566,"Main low precision"
2017,15478850.1803256,594517.7907956,15882803.2412256,15064633.2086409,16258869.6425044,14748221.2857563,"Main low precision"
2018,15578030.0076193,716903.541720284,16078960.6649833,15118650.911162,16557188.2446085,14729164.786268,"Main low precision"
2019,15772902.1279914,887055.154546903,16370031.0163191,15182175.6653705,16962482.4823539,14666929.6230134,"Main low precision"
2011,12595636.180458,231306.883641169,12750213.2075674,12476513.5638229,12942329.6784657,12393668.7006785,"Eurostat 10 percent"
2012,13300404.1052163,415411.156084756,13582605.6839641,13019988.3921977,13851070.8520353,12807692.8123134,"Eurostat 10 percent"
2013,13841934.032875,510189.194440366,14194963.5260836,13506662.9263605,14545509.2501821,13236768.0352432,"Eurostat 10 percent"
2014,14303359.0526954,556993.347385791,14674234.8846084,13962155.638958,15072487.891518,13628743.0421969,"Eurostat 10 percent"
2015,14770286.0931693,579855.453121052,15162534.0602706,14403755.9220832,15526622.5431645,14045266.9773193,"Eurostat 10 percent"
2016,15329590.9451441,575516.895471732,15704587.6821962,14945023.0109815,16048809.092094,14602974.5742812,"Eurostat 10 percent"
2017,15443067.076861,603332.400909469,15846439.9047216,15050570.3075285,16222448.2145986,14670717.383608,"Eurostat 10 percent"
2018,15497610.6766888,712529.912162398,15958013.0068484,15028720.8510661,16433103.5998224,14611248.1444901,"Eurostat 10 percent"
2019,15595861.0180552,883024.147513473,16171695.1059039,15017854.6009064,16785795.9490346,14514159.4957501,"Eurostat 10 percent"
2011,10881719.7937558,13035285.6194717,13686294.5913242,9387766.34197371,18634242.3636864,8418371.22748443,"Only Eurostat"
2012,10955898.5841459,12273197.4232807,13572072.1132191,9549645.99587095,18134711.5100645,8708071.22293047,"Only Eurostat"
2013,10993374.8316146,9318852.36029343,13536832.4808025,9615453.06359047,17641656.5661973,8841990.65899298,"Only Eurostat"
2014,11050033.2485974,9294186.95197901,13372551.8218599,9713340.29778314,17212359.0622935,8980260.53768092,"Only Eurostat"
2015,11162017.8824553,8016319.68430826,13338879.8522111,9840751.91285071,17147126.7636534,9114001.56220728,"Only Eurostat"
2016,11284247.6339668,7268213.65264244,13345911.8485967,10024975.1423368,16854472.5647497,9243390.78448803,"Only Eurostat"
2017,11450400.8096761,7049962.1543644,13533332.4982688,10216965.9143071,16802622.5431349,9426692.60860116,"Only Eurostat"
2018,11682538.6615525,6377290.99129814,13642822.8804618,10435096.6165389,16803687.9754987,9640522.22525731,"Only Eurostat"
2019,11900404.5255935,5791916.57430069,13929752.3416591,10624683.0140783,17038430.1723571,9772793.15546029,"Only Eurostat"
2011,12795557.1760829,346410.905943559,13038737.7354194,12590512.6044605,13310335.0068426,12456185.8616067,"Eurostat estimate 2016"
2012,13229017.5113231,458748.545908595,13537264.4347091,12926948.0404391,13834181.0085146,12670268.0724804,"Eurostat estimate 2016"
2013,13501682.9405936,529363.145762324,13846482.5333278,13151661.4927029,14190408.1622464,12844390.0079126,"Eurostat estimate 2016"
2014,13668727.2961696,559130.625200486,14067424.5959957,13310330.5283979,14416023.7983731,13005588.0472366,"Eurostat estimate 2016"
2015,13833953.6924662,566403.136424115,14236994.9700374,13471461.9945607,14614926.042466,13166035.6220515,"Eurostat estimate 2016"
2016,13982800.8680126,570976.235937265,14372445.10425,13625490.5055444,14755967.8159569,13309400.9626824,"Eurostat estimate 2016"
2017,14198432.3632925,578836.874711307,14603605.3940524,13827770.9569989,14991532.9245912,13509151.4063559,"Eurostat estimate 2016"
2018,14307584.5293394,674715.088205728,14782021.2847965,13861241.418823,15202613.1143965,13480335.5943223,"Eurostat estimate 2016"
2019,14323515.2720448,823331.663767311,14868329.9772332,13796558.1244829,15411081.316687,13327541.0013662,"Eurostat estimate 2016"
2011,13257890.9741838,1365742.52941809,13685545.7035639,12905640.8700246,14215620.7674539,12640411.4380283,"Without Facebook"
2012,13578679.0858612,1246444.30861001,14036119.9120679,13187139.7271031,14551431.741538,12857908.8903596,"Without Facebook"
2013,13680842.1258939,1215734.87089299,14148844.2474243,13260695.3570075,14646055.2418773,12914022.2873451,"Without Facebook"
2014,13669195.7035603,1251284.71886383,14134999.4298096,13238210.9010016,14677433.6792033,12851015.8997967,"Without Facebook"
2015,13606853.1916644,1221181.86724396,14132715.8178865,13149441.940444,14656098.388622,12765146.760266,"Without Facebook"
2016,13538283.608829,1229074.94272442,14079049.9024428,13075038.2601449,14680763.8467631,12645422.6319374,"Without Facebook"
2017,13538748.3450372,1253204.81090526,14114008.8064884,13000255.7074658,14778683.5392019,12537397.7385661,"Without Facebook"
2018,13612914.6182312,1297053.11560839,14349686.6663265,12986422.2081611,15100410.9629304,12470652.3719248,"Without Facebook"
2011,12549493.8456679,210042.15648559,12700359.8455943,12444593.498842,12879650.3487069,12369723.7000423,"Eurostat 5 percent"
2012,13269238.0222556,414538.460279717,13554437.7804096,13015441.7582059,13830703.4966905,12784856.5097506,"Eurostat 5 percent"
2013,13810394.3861832,512406.102579345,14162838.411909,13486451.0720628,14506279.2201572,13209842.6883528,"Eurostat 5 percent"
2014,14313461.4237721,561878.304162612,14695354.357075,13952338.0055442,15044923.0458395,13634212.8213195,"Eurostat 5 percent"
2015,14839559.6852069,606855.141076715,15249953.4625675,14425280.1704914,15595309.6588185,14080235.5393811,"Eurostat 5 percent"
2016,15316169.0773105,573025.329537939,15710846.3127754,14943205.2546342,16079651.8046967,14623628.8595066,"Eurostat 5 percent"
2017,15403934.2407564,603307.021699382,15820896.6779234,14994250.2587791,16200764.5748158,14668706.406473,"Eurostat 5 percent"
2018,15468938.3663664,714327.563498757,15956000.0946145,15015775.9530764,16416132.292259,14595740.1531158,"Eurostat 5 percent"
2019,15562277.1767833,871547.333301253,16170773.6852646,14977877.1812338,16719940.9223325,14525526.1639346,"Eurostat 5 percent"
2011,12581314.8439406,298144.432417562,12762920.2402971,12438674.8167209,12987612.0813194,12348905.1354669,"Eurostat 20 percent"
2012,13289340.5465041,461533.362344988,13583036.0942281,13000846.7220661,13872254.4572045,12754393.4577034,"Eurostat 20 percent"
2013,13827475.9642119,548122.028219578,14179545.2312774,13479205.7550315,14523445.351181,13175339.0211097,"Eurostat 20 percent"
2014,14296800.0938008,605708.122603301,14696225.1415535,13895674.2165417,15059413.8999495,13571150.6662461,"Eurostat 20 percent"
2015,14743480.0312386,628824.631430814,15190821.4196304,14332520.7610657,15571426.2788742,13969335.099547,"Eurostat 20 percent"
2016,15262580.4522727,601130.781660288,15682927.8585687,14865510.519801,16030077.5190133,14505589.2104608,"Eurostat 20 percent"
2017,15364553.439437,621684.989829304,15794282.4078918,14959162.8666512,16161938.0243204,14596068.6021404,"Eurostat 20 percent"
2018,15364454.1783935,740379.471730019,15839398.1083037,14877382.7482716,16316428.3433093,14429716.867886,"Eurostat 20 percent"
2019,15403521.5665746,915273.617847259,15988004.5945808,14801977.3853969,16602461.0312974,14282543.7311394,"Eurostat 20 percent"
2011,12572648.0769837,220230.521769343,12715374.2144851,12464240.802441,12894167.0955292,12390101.4535622,"Eurostat estimate 2018"
2012,13372707.226582,450496.780451115,13684231.4085812,13084639.4486738,13987365.0112431,12842819.598776,"Eurostat estimate 2018"
2013,13974910.5238883,545223.481748558,14346304.8444936,13621469.2130866,14715787.4620322,13326689.5422013,"Eurostat estimate 2018"
2014,14496102.4329774,612303.704053362,14916661.297122,14111549.2596725,15328075.1438733,13756941.6487976,"Eurostat estimate 2018"
2015,14997873.278663,635318.283573202,15447285.0040706,14597925.7932903,15875192.6745327,14246351.8288218,"Eurostat estimate 2018"
2016,15529155.2322386,607397.872739216,15942451.0271878,15142308.7934214,16342541.1974741,14801535.8890573,"Eurostat estimate 2018"
2017,15425295.0500365,628002.18092125,15867071.1338849,15024528.2363085,16269204.6903192,14664618.5812043,"Eurostat estimate 2018"
2018,15043798.6544821,776616.202994222,15557561.8370787,14516261.7520641,16089255.9495931,14097252.6365179,"Eurostat estimate 2018"
2019,15017054.8604434,910987.527814238,15639296.3789732,14413278.4575263,16218288.9064432,13887930.0216298,"Eurostat estimate 2018"
